from	to
678033	118013
820585	118013
890101	118013
1716581	118013
7488952	118013
14063540	118013
14346779	118013
15675138	118013
15772931	118013
17092444	645043
38021361	645043
813286	650903
10168082	650903
15774048	650903
15784302	650903
15959560	650903
16491845	650903
16674443	650903
18478452	650903
20686232	650903
813286	658643
15350091	658643
1192	678033
2426	678033
10237	678033
10450	678033
118013	678033
813286	678033
820585	678033
820694	678033
890101	678033
2065521	678033
3125721	678033
7619982	678033
8406952	678033
11270992	678033
14092729	678033
14455321	678033
15174710	678033
15356145	678033
16425299	678033
16664681	678033
17383566	678033
17388022	678033
18057537	678033
23188316	678033
25672636	678033
820694	694563
1653161	694563
5145071	694563
5357812	694563
5469742	694563
6685382	694563
6750202	694563
6980622	694563
7234682	694563
7359842	694563
7702542	694563
7712832	694563
7730052	694563
7841652	694563
8234132	694563
8430612	694563
10168082	694563
10376152	694563
11102352	694563
11256622	694563
12144232	694563
12591732	694563
12896172	694563
13280692	694563
14132503	694563
14165438	694563
14344823	694563
14389132	694563
14465607	694563
14720411	694563
14725237	694563
14728168	694563
14730894	694563
14869994	694563
15302379	694563
15394954	694563
15450996	694563
15451696	694563
15612282	694563
15650882	694563
15707714	694563
15711730	694563
15850830	694563
15950463	694563
15959560	694563
15968882	694563
16147260	694563
16259511	694563
16274815	694563
16345959	694563
16480425	694563
16491845	694563
16601460	694563
16664681	694563
16672662	694563
16681146	694563
16689723	694563
16840724	694563
16887628	694563
16930489	694563
17058879	694563
17233536	694563
17387589	694563
17416221	694563
17461226	694563
17566505	694563
17609675	694563
17611447	694563
17627001	694563
17718887	694563
17777458	694563
17791736	694563
17903209	694563
17924677	694563
17934084	694563
18027211	694563
18057820	694563
18100454	694563
18166778	694563
18170310	694563
18204604	694563
18205674	694563
18244206	694563
18286677	694563
18313141	694563
18385910	694563
18403114	694563
18566907	694563
18693598	694563
18713667	694563
18774342	694563
18791763	694563
19197093	694563
19208942	694563
19325222	694563
19473742	694563
19679854	694563
19745574	694563
20007904	694563
20250020	694563
20732463	694563
20859704	694563
20939349	694563
20958510	694563
20963802	694563
21044127	694563
21059384	694563
21406683	694563
21486588	694563
21541548	694563
21631487	694563
21635070	694563
21707592	694563
21857709	694563
22217443	694563
22243973	694563
22416413	694563
23203636	694563
23271088	694563
23696410	694563
23861321	694563
23978460	694563
24634910	694563
25093414	694563
25542877	694563
25910039	694563
26714962	694563
26918145	694563
27502479	694563
27783848	694563
27943436	694563
28263009	694563
29350302	694563
32497478	694563
32927258	694563
33972168	694563
34050945	694563
34927577	694563
36539277	694563
36741409	694563
10450	756018
24303	756018
813286	756018
2467791	756018
5632722	756018
5950272	756018
13280692	756018
13491312	756018
14437914	756018
14759966	756018
15356145	756018
15458694	756018
15941955	756018
17416221	756018
18664838	756018
18791763	756018
23255247	756018
10237	759251
694563	759251
790344	759251
798122	759251
4923811	759251
5442642	759251
5709522	759251
5923062	759251
5986922	759251
6980622	759251
7036002	759251
7221182	759251
7619982	759251
8430612	759251
9480572	759251
10069612	759251
10733062	759251
10929352	759251
11134252	759251
11740672	759251
12451342	759251
12788332	759251
13280692	759251
13493302	759251
13593692	759251
14063540	759251
14289923	759251
14344823	759251
14347931	759251
14355388	759251
14436141	759251
14437914	759251
14454892	759251
14455321	759251
14541184	759251
14574380	759251
14702746	759251
14706239	759251
14787584	759251
14927129	759251
15292471	759251
15338284	759251
15356407	759251
15363671	759251
15410898	759251
15428227	759251
15458694	759251
15763141	759251
15774048	759251
15807367	759251
15919864	759251
15921945	759251
15941955	759251
16077204	759251
16122121	759251
16157855	759251
16209123	759251
16214545	759251
16233111	759251
16259511	759251
16279527	759251
16305494	759251
16317406	759251
16366143	759251
16378486	759251
16518325	759251
16582102	759251
16671841	759251
16684054	759251
16809012	759251
16831827	759251
17088305	759251
17233536	759251
17481984	759251
17541488	759251
17877229	759251
17920055	759251
17980643	759251
18058317	759251
18220818	759251
18396070	759251
18689201	759251
18695206	759251
18736833	759251
19128897	759251
19238116	759251
19416225	759251
19430999	759251
19441940	759251
19613942	759251
19739126	759251
19833417	759251
19865528	759251
20097342	759251
20144167	759251
20252085	759251
20720536	759251
21305965	759251
21696279	759251
21833603	759251
21928737	759251
21980816	759251
22324974	759251
22509548	759251
23352319	759251
23861321	759251
24018771	759251
24795477	759251
25848164	759251
26304690	759251
26379293	759251
26657119	759251
27722951	759251
28682751	759251
29281472	759251
30050899	759251
30108503	759251
32756282	759251
35607822	759251
35690570	759251
35773039	759251
35811347	759251
35931640	759251
36841912	759251
37049965	759251
37089229	759251
38226264	759251
38370559	759251
39754743	759251
40566291	759251
40938614	759251
43035186	759251
47762195	759251
49726173	759251
53210156	759251
55009880	759251
2426	761975
10237	761975
658643	761975
775142	761975
2065521	761975
2384071	761975
3497941	761975
5815592	761975
10776522	761975
14247122	761975
15292813	761975
15380559	761975
15458694	761975
15675138	761975
15698824	761975
16348134	761975
16906137	761975
7039122	765210
12144232	765210
14389132	765210
14730894	765210
16122121	765210
16837019	765210
17416221	765210
18791763	765210
1192	768632
813286	768632
7059772	768632
9098632	768632
14063540	768632
14373036	768632
3365	775142
813286	775142
5757222	775142
7827602	775142
11270992	775142
12615912	775142
13491312	775142
13493302	775142
14129299	775142
14144520	775142
14352112	775142
14377605	775142
14695985	775142
14960700	775142
15458694	775142
15743485	775142
15750214	775142
15959560	775142
16313934	775142
16370091	775142
16500945	775142
16545692	775142
18057537	775142
18618881	775142
18791763	775142
19128897	775142
20720536	775142
21696279	775142
21879831	775142
23978460	775142
24712487	775142
26657119	775142
45275237	775142
7027412	783837
7619982	783837
11270992	783837
12349942	783837
13919072	783837
15356145	783837
17150022	783837
17567533	783837
17661006	783837
18548184	783837
813286	787595
5357812	787595
8542882	787595
11270992	787595
12705772	787595
13491312	787595
16664681	787595
5357812	790344
7039122	790344
8542882	790344
10168082	790344
10376152	790344
11102352	790344
12144232	790344
14132503	790344
14389132	790344
14720411	790344
14728168	790344
15428227	790344
15458694	790344
15749725	790344
16274815	790344
17602541	790344
17609675	790344
17611447	790344
17976923	790344
18170310	790344
18693598	790344
19739126	790344
20097342	790344
20958510	790344
21627881	790344
23271088	790344
23696410	790344
23951197	790344
26918145	790344
10237	798945
10450	798945
813286	798945
7619982	798945
11246242	798945
14377605	798945
14412101	798945
14454892	798945
18774342	798945
8633	807095
10450	807095
13413	807095
650903	807095
798122	807095
820585	807095
1716581	807095
2384071	807095
3125721	807095
3237221	807095
3497941	807095
3819931	807095
4923811	807095
5299452	807095
5442642	807095
5469742	807095
5484532	807095
5556352	807095
5757222	807095
5971382	807095
5986922	807095
6980622	807095
7027412	807095
7036002	807095
7094792	807095
7334712	807095
7825642	807095
8406952	807095
8431652	807095
8542882	807095
9697962	807095
10376152	807095
10733062	807095
10929352	807095
11270992	807095
11740672	807095
12349942	807095
12788332	807095
13035282	807095
13067732	807095
13493302	807095
13590162	807095
13919072	807095
14063540	807095
14068794	807095
14129299	807095
14132503	807095
14141323	807095
14173840	807095
14248963	807095
14266637	807095
14347931	807095
14355388	807095
14452370	807095
14454892	807095
14455321	807095
14511951	807095
14529929	807095
14541184	807095
14563564	807095
14648152	807095
14648201	807095
14728168	807095
14737299	807095
14752085	807095
14759966	807095
14832751	807095
14924233	807095
14927129	807095
15120887	807095
15201891	807095
15207668	807095
15292471	807095
15292813	807095
15302379	807095
15338284	807095
15356145	807095
15356407	807095
15363671	807095
15368940	807095
15428227	807095
15458694	807095
15511055	807095
15639786	807095
15648418	807095
15763141	807095
15774048	807095
15807367	807095
15814268	807095
15911087	807095
15919864	807095
16037181	807095
16072058	807095
16077204	807095
16081831	807095
16157855	807095
16214545	807095
16256826	807095
16259511	807095
16262329	807095
16279527	807095
16305494	807095
16317406	807095
16335288	807095
16366143	807095
16370091	807095
16402951	807095
16474992	807095
16518325	807095
16545933	807095
16563576	807095
16639736	807095
16664681	807095
16671841	807095
16681146	807095
16809012	807095
16831827	807095
16855894	807095
16861137	807095
16887628	807095
16906137	807095
16984304	807095
17004618	807095
17006036	807095
17058879	807095
17075602	807095
17133044	807095
17223014	807095
17233536	807095
17383566	807095
17429719	807095
17489079	807095
17566505	807095
17567533	807095
17914772	807095
17920055	807095
17975700	807095
17997235	807095
18003520	807095
18027211	807095
18086787	807095
18104918	807095
18204604	807095
18205674	807095
18365568	807095
18385910	807095
18401107	807095
18407451	807095
18449536	807095
18461227	807095
18548184	807095
18566907	807095
18575868	807095
18678924	807095
18737621	807095
18891923	807095
19014959	807095
19128897	807095
19148913	807095
19152977	807095
19238116	807095
19308529	807095
19410233	807095
19430999	807095
19468168	807095
19496008	807095
19500327	807095
19739126	807095
19745574	807095
19833417	807095
19917266	807095
20144541	807095
20182089	807095
20250020	807095
20467163	807095
20608711	807095
20709918	807095
20720536	807095
20959509	807095
20989764	807095
21165440	807095
21293089	807095
21305965	807095
21316936	807095
21344248	807095
21452918	807095
21533462	807095
21567649	807095
21664279	807095
21717987	807095
21779441	807095
21793751	807095
21879831	807095
21917063	807095
21939771	807095
21956780	807095
21965285	807095
21980816	807095
22010026	807095
22029138	807095
22032397	807095
22113107	807095
22153494	807095
22280445	807095
22393263	807095
22509548	807095
22738950	807095
22873947	807095
22883726	807095
23192594	807095
23255247	807095
23352319	807095
23408459	807095
23455653	807095
23964682	807095
24103365	807095
24187243	807095
24405200	807095
24591291	807095
24645871	807095
24663013	807095
24685791	807095
24795477	807095
24951142	807095
25036511	807095
25334080	807095
25709609	807095
26379293	807095
26414690	807095
26642006	807095
26657119	807095
26749459	807095
27090879	807095
27156793	807095
27618505	807095
28425127	807095
28448216	807095
28682751	807095
29281472	807095
29429945	807095
29558719	807095
29599309	807095
29764564	807095
30050899	807095
30647780	807095
31291086	807095
31325625	807095
32138043	807095
32191750	807095
33010533	807095
33938122	807095
34050945	807095
35013862	807095
35773039	807095
35811347	807095
36741409	807095
36841912	807095
37049965	807095
37332800	807095
37714344	807095
37759047	807095
38237450	807095
38363816	807095
40956297	807095
43035186	807095
43042534	807095
43632419	807095
43977798	807095
44532818	807095
46213956	807095
47762195	807095
48112717	807095
49386346	807095
53788795	807095
54257746	807095
56864092	807095
59171312	807095
59839521	807095
1192	813286
3365	813286
8633	813286
10237	813286
13413	813286
650903	813286
658643	813286
678033	813286
775142	813286
798945	813286
820585	813286
820694	813286
890101	813286
1015991	813286
1106501	813286
1146211	813286
1716581	813286
1759131	813286
2049811	813286
2065521	813286
2384071	813286
2493291	813286
2569261	813286
2608911	813286
3075021	813286
3237221	813286
3497941	813286
3819931	813286
4119741	813286
4214321	813286
5299452	813286
5442642	813286
5484532	813286
5506992	813286
5556352	813286
5757222	813286
5781742	813286
5815592	813286
5923062	813286
5950272	813286
5956042	813286
5971382	813286
5986922	813286
5990782	813286
6003302	813286
6113642	813286
6531772	813286
6559462	813286
6980622	813286
7027412	813286
7036002	813286
7094792	813286
7234682	813286
7334712	813286
7376382	813286
7387552	813286
7488952	813286
7728502	813286
7730052	813286
7784732	813286
7804342	813286
7825642	813286
7827602	813286
8245262	813286
8406952	813286
8430702	813286
8431652	813286
9038292	813286
9098632	813286
9132762	813286
9295212	813286
9362512	813286
9480572	813286
9562092	813286
9677372	813286
10069612	813286
10220892	813286
10376152	813286
10733062	813286
10776522	813286
10791692	813286
10820222	813286
10929352	813286
10940622	813286
11008182	813286
11072852	813286
11246242	813286
11270992	813286
11604292	813286
11640472	813286
11740672	813286
11776802	813286
11849832	813286
12144232	813286
12172042	813286
12272322	813286
12324252	813286
12372812	813286
12384312	813286
12451342	813286
12615912	813286
12811282	813286
12876992	813286
12913972	813286
13035282	813286
13067732	813286
13280692	813286
13367172	813286
13524182	813286
14049145	813286
14053295	813286
14098607	813286
14120290	813286
14129299	813286
14144520	813286
14173840	813286
14209673	813286
14226882	813286
14242376	813286
14247122	813286
14252963	813286
14255256	813286
14261642	813286
14262217	813286
14266637	813286
14270329	813286
14272120	813286
14289923	813286
14327577	813286
14328397	813286
14337970	813286
14346779	813286
14347931	813286
14355388	813286
14373036	813286
14377605	813286
14377872	813286
14389132	813286
14405285	813286
14416628	813286
14436141	813286
14437914	813286
14454892	813286
14455321	813286
14465607	813286
14479687	813286
14483334	813286
14511951	813286
14529929	813286
14541184	813286
14554889	813286
14563564	813286
14570002	813286
14648152	813286
14702746	813286
14703036	813286
14706239	813286
14709034	813286
14720411	813286
14725237	813286
14728168	813286
14730894	813286
14735166	813286
14740408	813286
14759966	813286
14764240	813286
14787584	813286
14790578	813286
14792049	813286
14804230	813286
14805088	813286
14819061	813286
14863800	813286
14873618	813286
14915146	813286
14924233	813286
14927129	813286
14936606	813286
14948202	813286
14960700	813286
15000848	813286
15008539	813286
15009171	813286
15023866	813286
15032926	813286
15119140	813286
15120464	813286
15120887	813286
15174710	813286
15175095	813286
15179645	813286
15182798	813286
15201891	813286
15207668	813286
15232705	813286
15280197	813286
15281601	813286
15292471	813286
15292813	813286
15302379	813286
15311571	813286
15335079	813286
15338284	813286
15359014	813286
15361224	813286
15363671	813286
15368940	813286
15377249	813286
15378805	813286
15380559	813286
15382980	813286
15397067	813286
15399115	813286
15410898	813286
15429247	813286
15451696	813286
15458694	813286
15478685	813286
15488949	813286
15493908	813286
15511055	813286
15588945	813286
15612282	813286
15616667	813286
15664632	813286
15675138	813286
15732591	813286
15734630	813286
15743485	813286
15749725	813286
15762819	813286
15770843	813286
15772931	813286
15774048	813286
15782072	813286
15784302	813286
15807367	813286
15814268	813286
15850830	813286
15917215	813286
15917488	813286
15919864	813286
15938025	813286
15941955	813286
15959560	813286
15964729	813286
15976697	813286
15976988	813286
15978350	813286
15986207	813286
15992051	813286
15992923	813286
16002804	813286
16021608	813286
16037181	813286
16051263	813286
16072058	813286
16077204	813286
16081831	813286
16118417	813286
16122121	813286
16144167	813286
16157855	813286
16169762	813286
16170115	813286
16170966	813286
16179517	813286
16191083	813286
16194607	813286
16198434	813286
16214545	813286
16256826	813286
16259511	813286
16279527	813286
16281187	813286
16305494	813286
16313934	813286
16325035	813286
16335288	813286
16348134	813286
16359486	813286
16366143	813286
16367505	813286
16370091	813286
16385139	813286
16441325	813286
16472571	813286
16474992	813286
16475573	813286
16500945	813286
16502238	813286
16503569	813286
16518325	813286
16545692	813286
16545933	813286
16554103	813286
16563576	813286
16568983	813286
16582102	813286
16601566	813286
16625266	813286
16664681	813286
16671841	813286
16674443	813286
16684054	813286
16698217	813286
16809012	813286
16812342	813286
16831827	813286
16837019	813286
16896485	813286
16935023	813286
17006036	813286
17014037	813286
17043155	813286
17058879	813286
17079583	813286
17088305	813286
17092444	813286
17118279	813286
17119759	813286
17141349	813286
17150022	813286
17175083	813286
17223014	813286
17232340	813286
17233536	813286
17241517	813286
17251395	813286
17383566	813286
17388022	813286
17397880	813286
17412394	813286
17416221	813286
17429719	813286
17480967	813286
17489079	813286
17546960	813286
17611447	813286
17636414	813286
17661006	813286
17664330	813286
17748830	813286
17789578	813286
17814354	813286
17833574	813286
17838040	813286
17857740	813286
17905825	813286
17920055	813286
17922816	813286
17924677	813286
17948369	813286
17957392	813286
17982990	813286
17989541	813286
17992979	813286
17997235	813286
18003520	813286
18027211	813286
18052599	813286
18055110	813286
18057537	813286
18065383	813286
18095847	813286
18104918	813286
18172905	813286
18190552	813286
18195853	813286
18207609	813286
18220818	813286
18244332	813286
18297767	813286
18299707	813286
18302004	813286
18317227	813286
18401107	813286
18407451	813286
18411665	813286
18449536	813286
18478452	813286
18495616	813286
18507316	813286
18548184	813286
18612289	813286
18618881	813286
18634085	813286
18664838	813286
18678924	813286
18689201	813286
18695206	813286
18736833	813286
18738967	813286
18745020	813286
18774342	813286
18862302	813286
18909534	813286
19058681	813286
19128897	813286
19130861	813286
19148913	813286
19202541	813286
19238116	813286
19253863	813286
19326476	813286
19410233	813286
19430999	813286
19437458	813286
19441940	813286
19468168	813286
19496008	813286
19500327	813286
19613942	813286
19753693	813286
19834459	813286
19865528	813286
19895716	813286
20077281	813286
20110855	813286
20118774	813286
20144167	813286
20144541	813286
20182089	813286
20269254	813286
20284696	813286
20286254	813286
20315237	813286
20421430	813286
20491285	813286
20693865	813286
20709918	813286
20720536	813286
20733757	813286
20781437	813286
20818214	813286
20825532	813286
20857192	813286
20883852	813286
20925854	813286
20959509	813286
20989764	813286
21046753	813286
21048033	813286
21160888	813286
21165440	813286
21253935	813286
21274455	813286
21301933	813286
21305965	813286
21307076	813286
21316936	813286
21344248	813286
21356559	813286
21362105	813286
21406120	813286
21430455	813286
21450142	813286
21452918	813286
21567649	813286
21598656	813286
21664279	813286
21696279	813286
21697217	813286
21717987	813286
21755551	813286
21793751	813286
21833603	813286
21879831	813286
21917063	813286
21925604	813286
21928737	813286
21939771	813286
21945413	813286
21956780	813286
21963813	813286
21964694	813286
21965285	813286
21965752	813286
21980816	813286
22010026	813286
22029138	813286
22032397	813286
22066415	813286
22067529	813286
22069212	813286
22113107	813286
22153494	813286
22181755	813286
22280445	813286
22303656	813286
22324974	813286
22393263	813286
22400899	813286
22503224	813286
22509548	813286
22523356	813286
22534607	813286
22556236	813286
22640123	813286
22643800	813286
22738950	813286
22775433	813286
22791554	813286
22819351	813286
22831555	813286
22873947	813286
22889841	813286
23128348	813286
23131123	813286
23192594	813286
23255247	813286
23271088	813286
23310948	813286
23319537	813286
23352319	813286
23780154	813286
23831682	813286
23861321	813286
23994835	813286
24018771	813286
24101774	813286
24103365	813286
24187243	813286
24247270	813286
24332308	813286
24591291	813286
24608909	813286
24663013	813286
24685791	813286
24701208	813286
24733117	813286
24771318	813286
24795477	813286
24881876	813286
24951142	813286
24972462	813286
25036511	813286
25297764	813286
25484499	813286
25593764	813286
25609632	813286
25744313	813286
25857217	813286
25891954	813286
25896141	813286
25911044	813286
25941604	813286
26304690	813286
26373615	813286
26379293	813286
26642006	813286
26657119	813286
26714962	813286
27090879	813286
27156793	813286
27271568	813286
27408423	813286
27512951	813286
27642995	813286
27722951	813286
28425127	813286
28682751	813286
28830479	813286
29136568	813286
29429945	813286
29599309	813286
29674668	813286
30029087	813286
30050899	813286
30108503	813286
30521028	813286
30657398	813286
30900591	813286
31127446	813286
31175661	813286
31283198	813286
31291086	813286
31325625	813286
32138043	813286
32259203	813286
32300023	813286
32517594	813286
32646461	813286
32668095	813286
32756282	813286
33010533	813286
33267951	813286
33734271	813286
33855204	813286
33986037	813286
34022477	813286
34050945	813286
34265518	813286
34755741	813286
34761747	813286
34976869	813286
35013862	813286
35418669	813286
35607822	813286
35811347	813286
35931640	813286
36563018	813286
36841912	813286
37049965	813286
37089229	813286
37248934	813286
37501173	813286
37666933	813286
37714344	813286
38006855	813286
38122727	813286
38226264	813286
38363816	813286
38370559	813286
38426752	813286
38734989	813286
39169522	813286
39187465	813286
39572923	813286
39754743	813286
40335385	813286
40566291	813286
40938614	813286
41010575	813286
41204530	813286
41373006	813286
42094599	813286
42647936	813286
43013901	813286
43035186	813286
43977798	813286
44532818	813286
45275237	813286
45450902	813286
46213956	813286
46589764	813286
46661008	813286
46792133	813286
46985065	813286
47142049	813286
47235377	813286
47632905	813286
47762195	813286
47839770	813286
48112717	813286
49386346	813286
49726173	813286
50481490	813286
51151270	813286
51616047	813286
51964801	813286
52164826	813286
52180914	813286
53210156	813286
53487798	813286
53578813	813286
54257746	813286
55133916	813286
55428254	813286
56532503	813286
56572080	813286
56864092	813286
57223664	813286
57405911	813286
58259777	813286
58708159	813286
59171312	813286
59900755	813286
3365	820585
10237	820585
10450	820585
13413	820585
118013	820585
678033	820585
813286	820585
820694	820585
890101	820585
1106501	820585
1716581	820585
2384071	820585
3497941	820585
4090261	820585
5757222	820585
5923062	820585
6021962	820585
6980622	820585
7234682	820585
7488952	820585
7827602	820585
8406952	820585
8431652	820585
9562092	820585
9697962	820585
11252962	820585
11270992	820585
11776802	820585
12615912	820585
13280692	820585
13493302	820585
13919072	820585
14068794	820585
14106207	820585
14129299	820585
14142956	820585
14173840	820585
14261642	820585
14347931	820585
14412101	820585
14454892	820585
14455321	820585
14511951	820585
14706239	820585
14752085	820585
14885620	820585
14927129	820585
14960700	820585
15174710	820585
15275677	820585
15292813	820585
15294551	820585
15356145	820585
15458694	820585
15473574	820585
15488949	820585
15511055	820585
15648418	820585
15675138	820585
15743485	820585
15750214	820585
15772931	820585
15807367	820585
15859912	820585
15919864	820585
16021608	820585
16190068	820585
16279527	820585
16313934	820585
16370091	820585
16482656	820585
16545692	820585
16664681	820585
16831827	820585
16887628	820585
17092444	820585
17150022	820585
17383566	820585
18003520	820585
18172905	820585
18618881	820585
19128897	820585
19152977	820585
19865528	820585
21136403	820585
21567649	820585
21697217	820585
21735063	820585
21879831	820585
21956780	820585
21965285	820585
21980816	820585
23255247	820585
24187243	820585
24431892	820585
24712487	820585
25484499	820585
26657119	820585
28902856	820585
30311115	820585
43759973	820585
46213956	820585
57917441	820585
1192	820694
10237	820694
10450	820694
13413	820694
118013	820694
678033	820694
694563	820694
813286	820694
820585	820694
890101	820694
980611	820694
1106501	820694
2608911	820694
3237221	820694
3497941	820694
5357812	820694
5442642	820694
5556352	820694
5757222	820694
5986922	820694
6021962	820694
7234682	820694
7488952	820694
7619982	820694
7784732	820694
8431652	820694
8542882	820694
9697962	820694
10220892	820694
10791692	820694
11134252	820694
11740672	820694
12080132	820694
12615912	820694
13280692	820694
13493302	820694
14129299	820694
14144520	820694
14173840	820694
14194973	820694
14226882	820694
14262217	820694
14289923	820694
14347931	820694
14377605	820694
14412101	820694
14730894	820694
14764240	820694
14927129	820694
14960700	820694
15292813	820694
15361224	820694
15429247	820694
15458694	820694
15492983	820694
15511055	820694
15675138	820694
15772931	820694
15784302	820694
15807367	820694
15859912	820694
15959560	820694
15986207	820694
16170115	820694
16279527	820694
16313934	820694
16370091	820694
16664681	820694
17006036	820694
17481984	820694
17567533	820694
17772281	820694
17997235	820694
18057537	820694
19128897	820694
19500327	820694
20269254	820694
20421430	820694
20720536	820694
20869267	820694
20919626	820694
21541548	820694
21717987	820694
21879831	820694
22029138	820694
22069212	820694
22831555	820694
23255247	820694
24187243	820694
27642995	820694
35013862	820694
36741409	820694
42363794	820694
43977798	820694
45275237	820694
46213956	820694
56167383	820694
1192	890101
10237	890101
118013	890101
678033	890101
813286	890101
820585	890101
820694	890101
3497941	890101
7488952	890101
7619982	890101
7827602	890101
12081832	890101
14437914	890101
14927129	890101
15174710	890101
15807367	890101
15959560	890101
17567533	890101
18655567	890101
20421430	890101
53788795	890101
13413	980611
813286	980611
820694	980611
1759131	980611
4090261	980611
5757222	980611
7036002	980611
7099112	980611
7234682	980611
7334712	980611
7488952	980611
7619982	980611
8406952	980611
8431652	980611
9480572	980611
9697962	980611
10085872	980611
10220892	980611
10791692	980611
12080132	980611
12081832	980611
12144232	980611
12615912	980611
13280692	980611
13491312	980611
14132503	980611
14173840	980611
14267557	980611
14272120	980611
14289923	980611
14327577	980611
14347931	980611
14352112	980611
14389132	980611
14465607	980611
14927129	980611
14948202	980611
15174710	980611
15201891	980611
15292813	980611
15294551	980611
15356145	980611
15368940	980611
15511055	980611
15675138	980611
15774048	980611
15919864	980611
15938025	980611
15959560	980611
15992923	980611
16122121	980611
16370091	980611
16500945	980611
16664681	980611
16674443	980611
16837019	980611
17006036	980611
17088305	980611
17150022	980611
17233536	980611
17416221	980611
17567533	980611
17845639	980611
18057537	980611
18244332	980611
18385910	980611
19128897	980611
20720536	980611
20925854	980611
20981234	980611
21253935	980611
21356559	980611
21450142	980611
21697217	980611
21879831	980611
21980816	980611
22831555	980611
23255247	980611
24187243	980611
24795477	980611
26379293	980611
26670829	980611
27156793	980611
27271568	980611
27512951	980611
27722951	980611
31291086	980611
32927258	980611
37666933	980611
43759973	980611
47839770	980611
13413	1015991
38003	1015991
813286	1015991
820585	1015991
890101	1015991
3497941	1015991
5986922	1015991
7488952	1015991
9697962	1015991
14347931	1015991
14437914	1015991
14728168	1015991
15174710	1015991
15201891	1015991
15292813	1015991
15919864	1015991
16120295	1015991
16366143	1015991
17845639	1015991
