id,id_author,id_tweet,text,label,moralbert,roberta_mmp,roberta_mm,liwc_mfd,persp_bert,human_annot,moral_label,moral_label_polarity,moral_label2
1259,6117452,322037605233463297,Nice! RT @MotherJones: New documentary by @bravenewfilms explores Obama's war on whistleblowers and the free press: http://t.co/tkZjcrAumB,neg,nonmoral,loyalty,loyalty,loyalty,care,loyalty,loyalty,no moral,loyalty
1260,6117452,260551503079669760,"So, Obama wants friends in the Syrian government, not freedom for the Syrian people. :/ (Not that Romney would do differently). #debate",neg,fairness,authority,fairness,nonmoral,fairness,fairness,fairness,fairness,fairness
1327,6471972,6126740472,Obama does something right. http://bit.ly/91bazy Now to get rid of Beltway Bandit Pentagon consultant double dippers.,pos,authority,authority,fairness,nonmoral,loyalty,authority,authority,authority,authority
1330,6471972,1137769478,Good thing Obama's not getting a littly girly dog http://bit.ly/dYTE,pos,nonmoral,nonmoral,nonmoral,nonmoral,care,care,nonmoral,no moral,nonmoral
1393,6742412,206791814362038273,#DescribeObamaInThreeWords Over $16Trillion Debt #tcot #teaparty,neg,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
1394,6742412,260016538931838977,Obama campaign accepted foreign Web donation -- and may be hiding more #tcot #teaparty #sgp  @scoopit http://t.co/sQjlLskO,neg,nonmoral,fairness,nonmoral,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
1431,6980622,326778417825603584,"Rewards for Impunity? On Obama's Watch, you betcha! #Treasury loosens sanctions on #Sudan http://t.co/KL4HcLtzuU",pos,authority,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,authority,nonmoral
1432,6980622,278946820560936960,CoSigned. #Sudan experts & others urge #Obama to revamp Sudan policy to stop atrocities. http://t.co/07V78qPF #R2P,pos,nonmoral,care,care,nonmoral,fairness,care,care,no moral,care
1435,6980622,309722663121731584,"@fallonwr1 Paul's approach is ignorant. As is the president's. Need better oversight, experts on mil/intel & constitutional  law.",neg,authority,authority,fairness,authority,fairness,authority,authority,authority,authority
1441,7014162,260752402850906114,"President @BarackObama Said we had a Severe Outbreak of ""Romnesia"" Last Night.. and it was a stage 3 lol.",pos,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
1442,7014162,266069279739367424,President @BarackObama giving his Live Victory Speech Now. Many 1000s of Cheering Supporters / Voters in attendance. #Chicago #TeamObama,pos,loyalty,nonmoral,loyalty,nonmoral,loyalty,loyalty,loyalty,loyalty,loyalty
1698,8069572,252902932926844928,"@jessicaarvela @BarackObama Doesn't have my ""total support."" But I don't know any policies he has had to kill jobs. Romney has.",pos,authority,loyalty,nonmoral,care,fairness,loyalty,authority,authority,authority
1836,9174252,270542793108230144,pulitzercenter: Today President Obama makes history as the first US president to visit Burma. http://t.co/uSP5ah9H,pos,nonmoral,nonmoral,nonmoral,authority,loyalty,nonmoral,nonmoral,no moral,nonmoral
1837,9174252,251777807015899139,barackobama: Our guy v. their guy. http://t.co/CGp6ndwp,pos,nonmoral,purity,loyalty,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
1838,9174252,263666031992643584,Hurricane Sandy Is a Reminder of Why 'Obama Phones' Exist http://t.co/JKuuw5YU (via @theatlantic),pos,purity,care,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,degradation,nonmoral
1839,9174252,262950364570058752,motherjones: Palm Beach County Screws Up Another Presidential Election http://t.co/5Ecim2Ic,pos,nonmoral,fairness,authority,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
1840,9174252,270727285282308097,"I liked a @YouTube video http://t.co/YR9SYqgy On Board With President Obama - Rangoon, Burma",pos,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
1871,9343272,30087958405054464,"I can't wait for Obama to drop the 'austerity"" bomb. #SOTU",neg,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
1872,9343272,30095632785997824,"Oh noes, Obama wants to reign in frivolous lawsuits.  California will go broke in 6 months.  #SOTU",neg,authority,fairness,authority,nonmoral,care,authority,authority,authority,authority
1875,9343272,80426852132466688,Romney is gunning for Obama.  SHOCKER  #CNNDebate,neg,authority,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,authority,nonmoral
1913,9640622,994028605,"@Mituk - Thanks for sharing - http://change.gov/. Gorgeous, prestigious, presidential & freaking awesome that their Internet pressence rox!",pos,fairness,nonmoral,nonmoral,care,loyalty,nonmoral,fairness,cheating,nonmoral
1914,9640622,30099225991708674,@kimtackett: @MeHeatherD it makes my heart happy - Me too! Sitting on edge of seat and slightly verklempt. #GoMrPresident #SOTU,pos,nonmoral,nonmoral,fairness,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
1915,9640622,991145048,Thrilled. Brilliant. Speechless. Proud. Thank you @BarrackObama.,pos,purity,fairness,fairness,nonmoral,loyalty,nonmoral,fairness,degradation,fairness
2011,10716532,942411141,I won't just give you the top 3 reasons; I could give you a sermon about why I support Obama. Try me. It's our duty to be educated voters!,pos,nonmoral,loyalty,nonmoral,authority,fairness,purity,nonmoral,no moral,nonmoral
2013,10716532,978956202,"9 percent of Americans have voted and among them, Barack Obama is up 21 whoppin points. The change we need-- one week to go!",pos,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
2047,10879802,301524014885658624,Obama proposes raising the minimum wage by printing money on our 3D printers #SOTU,neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,no moral,nonmoral
2048,10879802,301529395846340608,"@jrcornthwait I want Obama and Biden to sing the call and response of, ""You remind me of the babe..."" to each other",neg,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
2056,11090052,254402461060698112,Obama supporters upset Obama could not use teleprompter during debate at the U of Wisconsin  http://t.co/ZWqaqpU5,neg,authority,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,authority,nonmoral
2057,11090052,262985009693085696,"Obama's ""Leaning forward"" slogan in every comment about #Sandy is soooo annoying. We need to move, not lean",neg,nonmoral,purity,authority,nonmoral,loyalty,purity,nonmoral,no moral,nonmoral
2058,11090052,196070083754344448,"Can't help but notice the rash of new National monument, Park, and nwo tribal Park proposals... Obama desperate to appeal to far left?",neg,authority,nonmoral,nonmoral,care,fairness,purity,authority,authority,nonmoral
2059,11090052,260750836345491457,"Better late than never? RT @ByronYork: Fourteen days out, Obama releases economic plan. http://t.co/BBcnW6jP",neg,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
2060,11090052,218801522547490816,#Bush44 did such a better job comforting people. Obama and Romney too stone-like. #Waldocanyonfire,neg,care,loyalty,care,care,care,care,care,care,care
2134,11549612,177268104395624449,"@Skitzzo get the nomination & start fund raising & get ready to run against Obama with 60 days or so, seems like a suicide mission",pos,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,purity,nonmoral,no moral,nonmoral
2182,11895852,95663453603233792,"The House has a plan, The Senate has a plan.  Did the President ever put forward a plan?  Why does he not put forward his plan for compromis",neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,purity,nonmoral,no moral,nonmoral
2396,13284792,6258177504,"RT @mattklewis Hmm. What to say about Obama's speech... Well, he sure as hell ain't Winston Churchill.",neg,nonmoral,nonmoral,nonmoral,purity,loyalty,nonmoral,nonmoral,no moral,nonmoral
2397,13284792,14721943249,RT @JoeyBiden Memo to oil spill. Barack is the president: The planet is supposed to be healing and the ocean receding. #racistoilspill,pos,care,authority,care,authority,fairness,authority,authority,authority,care
2398,13284792,64884360075157504,"Seriously, who else is in? RT @allyparsons If they killed bin Laden I'm going to the bar. Hurry up Mr. President make the statement already!",pos,nonmoral,loyalty,nonmoral,care,authority,loyalty,nonmoral,no moral,nonmoral
2496,13880632,941068370,"@McCainWreck its true, I came out against #obama in my quiz, now go back to the teat and drink more of that kookaid you so love, shoo!",neg,nonmoral,authority,care,care,care,nonmoral,care,no moral,care
2497,13880632,936653778,"Obama goes into apologizing for the USA again, what a scumbag he is #current",neg,authority,loyalty,nonmoral,nonmoral,nonmoral,purity,nonmoral,authority,nonmoral
2498,13880632,902233575,"Fav quote from: http://bit.ly/29exJA? ""only one guilty political malpractice' is whomever had Britney's roadies construct temple for Obama""",neg,nonmoral,fairness,fairness,purity,nonmoral,fairness,fairness,no moral,fairness
2499,13880632,938765282,"Funny how so many Obama supporters are ""World Citizens""...what the hell is that? What's wrong with being a Citizen of the USA??? losers",neg,loyalty,loyalty,nonmoral,purity,fairness,purity,loyalty,loyalty,loyalty
2500,13880632,937578193,"#obama and his lefty wife Michelle get a bye from the press, no ACORN articles, nothing on his association with terrorists, #horseshit !!",neg,nonmoral,loyalty,nonmoral,loyalty,loyalty,loyalty,loyalty,loyalty,loyalty
2532,14057849,172018393149476866,Obama to Improve Teacher Quality With RESPECT Project http://t.co/ZbbifxnE,pos,fairness,authority,fairness,nonmoral,nonmoral,nonmoral,fairness,cheating,fairness
2533,14057849,254270961090699266,"@BarackObama isn't top down policy when the gov handles everything, AKA the policies you have pushed for 4 years?",neg,nonmoral,authority,nonmoral,nonmoral,fairness,fairness,nonmoral,no moral,nonmoral
2535,14057849,192703375572344832,"@js10520 not so sure Obama lies.  He said he would spend money, and that is what he has done.",neg,authority,nonmoral,fairness,nonmoral,nonmoral,authority,nonmoral,authority,nonmoral
2612,14099695,305881066953142272,Photo: The First Lady made a few calls for Barack from Chicago todaycan you pick up a shift? http://t.co/dcKSs8aldi,pos,nonmoral,loyalty,nonmoral,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
2613,14099695,324212871024222208,"Blog Post:  President Obama: ""The American People Refuse to be Terrorized"" http://t.co/opmombQtC9",pos,care,nonmoral,loyalty,nonmoral,nonmoral,care,nonmoral,harm,nonmoral
2614,14099695,300370752375500801,Press Release: Remarks by the President at the National Prayer Breakfast http://t.co/YNu3Imaq,pos,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
2615,14099695,304291931947663361,Press Release: First Lady Michelle Obama to Embark on National Tour Celebrating Third Anniversary of Lets Move! http://t.co/LdeOghm2,pos,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
2661,14132503,289099252494372865,Obama continues to stack his Cabinet with Friends; Treasury to WH Chief of Staff: WASHINGTON  As liberals in th... http://t.co/SHPyd4sQ,neg,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
2662,14132503,326289623930253312,Thanks ObamaCare: Puerto Rican doctors flee the island to U.S.: SAN JUAN  Maybe Puerto Rico should have voted... http://t.co/t1NMCPunx9,neg,nonmoral,nonmoral,care,nonmoral,authority,care,nonmoral,no moral,nonmoral
2663,14132503,286449786444451842,I'm Barack Obama and I'm going to raise your taxes.,neg,nonmoral,care,care,nonmoral,loyalty,nonmoral,care,no moral,care
2664,14132503,301518687167455232,We've been waiting 4 years for Obama to create jobs. #ShowUsYourCuts #SOTU,neg,fairness,fairness,loyalty,nonmoral,care,fairness,fairness,cheating,fairness
2731,14182457,2574328852,"Obama In Africa. Everywhere he goes, everything he does, he makes HISTORY aka OUR-STORY. Cue Johnny Pate ^M  http://blip.fm/~9pfw5",pos,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,care,nonmoral,no moral,nonmoral
2734,14182457,8306303319,"That's right, now start naming names, Mr. President #SOTU",neg,nonmoral,authority,authority,nonmoral,authority,nonmoral,authority,no moral,authority
2735,14182457,64886581617627136,Obama GOT Osama!!!! http://t.co/ktxKshG,pos,authority,authority,authority,nonmoral,loyalty,nonmoral,authority,authority,authority
2981,14369841,990121196,"been singing Obama songs all day. I'm a really bad singer, but I don't care.  http://tinyurl.com/5e7mny and http://tinyurl.com/5jq9kk",pos,nonmoral,nonmoral,nonmoral,care,care,nonmoral,care,no moral,nonmoral
2982,14369841,981794234,Watching Bill + Obama rally in Florida... isn't it 2:30 in the morning there?,pos,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
3049,14427857,76343107985215488,"infographic 101 - pie charts are not good for showing diff in size of data points-obama's ""food plate"" is hard to read http://bit.ly/mB8rtK",neg,nonmoral,nonmoral,nonmoral,purity,loyalty,nonmoral,nonmoral,no moral,nonmoral
3050,14427857,5178690845,@ArjunJaikumar #cheeringfortheyankeesislike voting for obama :D,pos,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
3077,14443268,266030713340567552,BARACK OBAMA!!!! SUCK IT CLOSE MINDED WHITE PEOPLE!!!! #fb,pos,authority,care,nonmoral,nonmoral,fairness,purity,nonmoral,authority,nonmoral
3080,14443268,196982942147424256,BREAKING NEWS: Our president has charisma and SOMEHOW can hire a comedy writer! Click link to watch!,pos,fairness,authority,nonmoral,authority,loyalty,authority,authority,authority,authority
3096,14447648,253700316120363008,"David Axelrod now on CNN exposing Obama strategy: let Romney dig himself in a hole. [paraphrasing] Dangerous strategy, people.",pos,authority,nonmoral,nonmoral,nonmoral,authority,nonmoral,authority,authority,nonmoral
3176,14497084,884395424,Obama leveraging mobile marketing...Building opt-ins with opportunity to get VP selection news first.  http://my.barackobama.com/vp,pos,nonmoral,purity,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
3178,14497084,64892953717518336,"""We do big things"" #barackobamahasaposse  http://plixi.com/p/97937543",pos,nonmoral,purity,nonmoral,nonmoral,authority,nonmoral,nonmoral,no moral,nonmoral
3180,14497084,826493679,Watching Obama victory speech. Finally the primary campaign ends!,pos,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
3266,14581040,910156634,"@blazewalker Obama scares me. Extreme Liberals like him can be like Mac users at times, heads too far up their butts to see the reality",neg,nonmoral,purity,purity,nonmoral,authority,purity,purity,no moral,purity
3267,14581040,1358805017,April 6th - The day Rick Pitino Proves Obama Wrong!,neg,authority,authority,nonmoral,nonmoral,loyalty,authority,authority,authority,authority
3270,14581040,910276705,"@cmarlow480 most democrats do tend to be liberals. When I said ""Liberals like Obama"", I mean liberals, so far to the left, their communist.",neg,nonmoral,nonmoral,care,nonmoral,fairness,nonmoral,nonmoral,no moral,nonmoral
3355,14681353,936533178,"+3 Obama for quotable sound bite, ""using a hatchet when you need a scalpel"" #tweetdebate",pos,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
3396,14709419,936678455,@bessemerprocess #debate08  mccain was disrespectful?  Obama kept calling mccain john and not senator.  THAT's disrespectful,neg,authority,authority,authority,nonmoral,nonmoral,authority,authority,authority,authority
3397,14709419,933630018,"""Biden Dropping Out? Rumor Thrives on Internet""  Clinton rumored to vp w/ obama.  Thoughts?",neg,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
3441,14744335,78119633621749760,"517 days until Election Day, and I still don't see a GOP candidate for president that I'd want to work for yet. Maybe next week.",neg,nonmoral,nonmoral,nonmoral,authority,nonmoral,authority,nonmoral,no moral,nonmoral
3442,14744335,10788526604,I love how Obama is trying to cover a government takeover of healthcare under the guise of altruism.,neg,nonmoral,care,care,care,care,care,care,care,care
3443,14744335,303556385436758016,"Q4: its hard to find something innovative when we keep trying to copy Obama. Focus on winning over replication, attention follows #polichat",neg,nonmoral,authority,nonmoral,nonmoral,fairness,fairness,nonmoral,no moral,nonmoral
3496,14818207,12537819370,ObamaCare encourages folks not to grow up until they're 26 with healthcare coverage. http://bit.ly/c24VjO,neg,nonmoral,nonmoral,nonmoral,care,care,fairness,care,no moral,nonmoral
3497,14818207,12721042413,Hard hitting money bomb by @marcorubio equating Christ w/ Obama.  http://bit.ly/bDCMTB,neg,authority,nonmoral,nonmoral,nonmoral,authority,nonmoral,authority,authority,nonmoral
3500,14818207,20159938770,I wonder how much money Obama campaign is spending on this FB ad campaign #birthdayfail http://twitpic.com/2b167h,neg,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
3516,14828712,13728815377,"Obama ""hopes Senate will act in bipartisan fashion."" I wish it would start acting in nonpartisan fashion. There's a difference. #tlot #fb",neg,authority,authority,authority,nonmoral,loyalty,fairness,authority,authority,authority
3517,14828712,199862146836860930,"""Will & Grace"" Creators Thrilled at Biden's Shout Out, Not So Thrilled at Obama's ""Evolving"" Stance http://t.co/Xxa7rNMm #lgnb",neg,authority,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,authority,nonmoral
3518,14828712,20471195548,"A quick way to prove your ignorance is to discover a ""contradiction"" between Perry (Amend 14) & Obamacare (Art I). http://is.gd/e61NT #tlot",neg,nonmoral,nonmoral,nonmoral,nonmoral,authority,purity,nonmoral,no moral,nonmoral
3519,14828712,10468556710,"Of all the Bush Administration atrocities Obama could dismantle, he picks No Child Left Behind. kthxbye http://bit.ly/c8sbnB #tlot #fb",neg,nonmoral,nonmoral,fairness,nonmoral,care,care,nonmoral,no moral,nonmoral
3520,14828712,8572648957,@bilerico What happens in Obama's brain unfortunately doesn't stay in Obama's brain...,neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,no moral,nonmoral
3547,14847940,250997718556766209,"A must read. RT @TheAtlanticPOL: Why I Refuse to Vote for Barack Obama, by @conor64 http://t.co/aPMsxqAX",neg,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,loyalty,nonmoral,no moral,nonmoral
3549,14847940,25417794791145472,I cant believe this 'memorial' service. Turned into a screaming pep rally and Obama's playing it up. How disrespectful,neg,authority,purity,nonmoral,nonmoral,care,purity,nonmoral,authority,nonmoral
3550,14847940,971186379,"I wish I could like Obama, but he keeps opening his mouth - http://tinyurl.com/626u6r",neg,nonmoral,authority,authority,nonmoral,fairness,authority,authority,no moral,authority
3635,14936857,155352848090140672,The Onion gets poignant: Obama Openly Asks Nation Why On Earth He Would Want To Serve For Another Term http://t.co/CgLkkt2e,neg,authority,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,authority,nonmoral
3686,14960700,200426575303417856,Today the President of the United States of America said that gay people should be able to get married. That really happened.,neg,fairness,fairness,fairness,purity,purity,fairness,fairness,fairness,fairness
3786,15119002,4559394600,"@grantswilson: Bush/Obama, it doesn't matter, still a dumb move. (1 of 2) - What was the dumb move? Not getting it? That was a possiblity.",neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,purity,nonmoral,no moral,nonmoral
3787,15119002,4932788578,"RT @markowitz: If Obama hasn't had time to earn the Nobel Prize, then he hasn't had time to earn the loathing of the tea-baggers either.",neg,nonmoral,nonmoral,fairness,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
3789,15119002,1025889220,So Bush is pardoning turkeys while Obama is putting together a financial council to help turn our country around. Why does Nero come to mind,pos,nonmoral,authority,nonmoral,loyalty,nonmoral,nonmoral,nonmoral,no moral,nonmoral
3790,15119002,63600329031294978,"@ScottyRoberts let's get down to brass and stop dancing around the subject. Do you ""believe"" Obama was born in Hawaii or not?",neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,no moral,nonmoral
3861,15207713,908917382,#rnc08 Palin: Obama's authored 2 memoirs & no legislation...classic,neg,authority,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral
3863,15207713,936651218,#debate08 #current 9/11 question is a big softball for Obama to whine about Iraq some more.,neg,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
3865,15207713,961526282,"#debate08 I'm glad to hear that Sen. Obama wants to elim. unneeded programs, but ""investing in America"" sounds like more gov't prgrms",pos,nonmoral,care,loyalty,nonmoral,fairness,fairness,nonmoral,no moral,nonmoral
3918,15251890,290258348434141184,The French just launched an attack against Mali. How long before Obama joins in the fun? http://t.co/TOLY6i1R,neg,nonmoral,nonmoral,care,care,fairness,nonmoral,care,no moral,care
3961,15299259,253686123359006720,Obama was stone faced and showed tension in his face. Romney proved his experience today. I think it might be bye bye Obama soon ;)),neg,authority,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,authority,nonmoral
3962,15299259,253687872274706432,@NattAnu just the closing statement. Right from the get start Romney stepped by and pretty much ran a bulldozer over Obama ;))),neg,authority,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,authority,nonmoral
3964,15299259,266073076721131521,Same old speech. I bet Obama will become a pastor after his presidency!,neg,authority,nonmoral,nonmoral,purity,loyalty,authority,authority,authority,nonmoral
4166,15487858,265285494684930048,Finally saying my piece about this election. Why I Voted for @BarackObama: http://t.co/4mseQHun,pos,nonmoral,nonmoral,fairness,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
4168,15487858,160379451186757632,Don't judge me for the return of my teenage crush on Obama after watching him sing that Al Green tune. #swoon #whoknew,pos,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
4170,15487858,200301357301891073,Big news and finally!!! BREAKING: Obama Embraces Marriage Equality http://t.co/VWcaORUe via @thinkprogress,pos,care,fairness,fairness,nonmoral,loyalty,fairness,fairness,harm,fairness
4271,15627816,266009285429972993,I wonder if Obama will just sweep up everything #VoteObama,pos,authority,authority,authority,nonmoral,fairness,nonmoral,authority,authority,authority
4273,15627816,936504378,thats right let him know the facts obama #current,pos,authority,nonmoral,nonmoral,nonmoral,authority,nonmoral,authority,authority,nonmoral
